,job_title,job_category,salary,experience_level,employment_type,work_setting,company_size
7325,Data Scientist,Data Science and Research,88100,Senior,Full-time,In-person,M
7326,Data Scientist,Data Science and Research,120000,Senior,Full-time,Remote,S
7327,Data Scientist,Data Science and Research,55000,Senior,Full-time,Remote,S
7328,Data Scientist,Data Science and Research,185900,Senior,Full-time,In-person,M
7329,Data Scientist,Data Science and Research,129300,Senior,Full-time,In-person,M
7330,Data Engineer,Data Engineering,191200,Senior,Full-time,In-person,M
7331,Data Engineer,Data Engineering,130000,Senior,Full-time,In-person,M
7332,Data Analyst,Data Analysis,169000,Senior,Full-time,In-person,M
7333,Data Analyst,Data Analysis,110600,Senior,Full-time,In-person,M
7334,Analytics Engineer,Leadership and Management,150000,Senior,Full-time,In-person,M
7335,Analytics Engineer,Leadership and Management,120000,Senior,Full-time,In-person,M
7336,Data Science Consultant,Data Science and Research,139000,Senior,Full-time,In-person,M
7337,Data Science Consultant,Data Science and Research,122000,Senior,Full-time,In-person,M
7338,Data Scientist,Data Science and Research,185900,Senior,Full-time,In-person,M
7339,Data Scientist,Data Science and Research,129300,Senior,Full-time,In-person,M
7340,Data Analyst,Data Analysis,139600,Senior,Full-time,In-person,M
7341,Data Analyst,Data Analysis,85700,Senior,Full-time,In-person,M
7342,Data Engineer,Data Engineering,185000,Senior,Full-time,Remote,M
7343,Data Engineer,Data Engineering,50000,Senior,Full-time,Remote,M
7344,Data Engineer,Data Engineering,185900,Senior,Full-time,In-person,M
7345,Data Engineer,Data Engineering,129300,Senior,Full-time,In-person,M
7346,Data Scientist,Data Science and Research,225000,Senior,Full-time,In-person,M
7347,Data Scientist,Data Science and Research,156400,Senior,Full-time,In-person,M
7348,Data Scientist,Data Science and Research,200000,Senior,Full-time,Remote,M
7349,Data Scientist,Data Science and Research,175000,Senior,Full-time,Remote,M
7350,Data Engineer,Data Engineering,185900,Senior,Full-time,In-person,M
7351,Data Engineer,Data Engineering,129300,Senior,Full-time,In-person,M
7352,ML Engineer,Machine Learning and AI,148500,Mid-level,Full-time,Remote,L
7353,ML Engineer,Machine Learning and AI,98200,Mid-level,Full-time,Remote,L
7354,Data Analyst,Data Analysis,115000,Senior,Full-time,Remote,M
7355,Data Analyst,Data Analysis,95000,Senior,Full-time,Remote,M
7356,Data Architect,Data Architecture and Modeling,225000,Senior,Full-time,Remote,M
7357,Data Architect,Data Architecture and Modeling,66000,Senior,Full-time,Remote,M
7358,Data Scientist,Data Science and Research,185000,Senior,Full-time,Remote,M
7359,Data Scientist,Data Science and Research,50000,Senior,Full-time,Remote,M
7360,Data Manager,Leadership and Management,134000,Mid-level,Full-time,In-person,M
7361,Data Manager,Leadership and Management,98000,Mid-level,Full-time,In-person,M
7362,Data Analyst,Data Analysis,105000,Mid-level,Full-time,In-person,M
7363,Data Analyst,Data Analysis,62000,Mid-level,Full-time,In-person,M
7364,BI Data Analyst,Data Analysis,57000,Entry-level,Full-time,Remote,L
7365,Data Scientist,Data Science and Research,144200,Mid-level,Full-time,Remote,M
7366,Data Scientist,Data Science and Research,115360,Mid-level,Full-time,Remote,M
7367,Data Engineer,Data Engineering,170000,Senior,Full-time,Remote,M
7368,Data Engineer,Data Engineering,150000,Senior,Full-time,Remote,M
7369,Data Architect,Data Architecture and Modeling,180000,Senior,Full-time,Remote,M
7370,Data Architect,Data Architecture and Modeling,160000,Senior,Full-time,Remote,M
7371,Data Scientist,Data Science and Research,108000,Mid-level,Full-time,Hybrid,L
7372,Machine Learning Manager,Machine Learning and AI,200000,Senior,Full-time,Remote,M
7373,Machine Learning Manager,Machine Learning and AI,150000,Senior,Full-time,Remote,M
7374,Data Engineer,Data Engineering,188700,Senior,Full-time,Remote,M
7375,Data Engineer,Data Engineering,160395,Senior,Full-time,Remote,M
7376,Data Analyst,Data Analysis,115934,Senior,Full-time,Remote,M
7377,Data Analyst,Data Analysis,81666,Senior,Full-time,Remote,M
7378,Data Engineer,Data Engineering,300000,Senior,Full-time,In-person,M
7379,Data Engineer,Data Engineering,225000,Senior,Full-time,In-person,M
7380,Data Scientist,Data Science and Research,198440,Senior,Full-time,Remote,M
7381,Data Scientist,Data Science and Research,144000,Senior,Full-time,Remote,M
7382,Applied Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7383,Applied Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7384,Lead Data Scientist,Data Science and Research,156868,Senior,Full-time,Remote,L
7385,Data Scientist,Data Science and Research,198440,Senior,Full-time,In-person,L
7386,Data Scientist,Data Science and Research,144000,Senior,Full-time,In-person,L
7387,Data Analyst,Data Analysis,90000,Senior,Contract,Remote,M
7388,Data Engineer,Data Engineering,200000,Senior,Full-time,Remote,M
7389,Data Engineer,Data Engineering,180000,Senior,Full-time,Remote,M
7390,Analytics Engineer,Leadership and Management,108000,Mid-level,Full-time,Remote,M
7391,Analytics Engineer,Leadership and Management,85000,Mid-level,Full-time,Remote,M
7392,Machine Learning Engineer,Machine Learning and AI,210000,Senior,Full-time,Remote,M
7393,Machine Learning Engineer,Machine Learning and AI,180000,Senior,Full-time,Remote,M
7394,Data Engineer,Data Engineering,165000,Senior,Full-time,Remote,M
7395,Data Engineer,Data Engineering,132000,Senior,Full-time,Remote,M
7396,Analytics Engineer,Leadership and Management,130000,Senior,Full-time,Remote,M
7397,Analytics Engineer,Leadership and Management,110000,Senior,Full-time,Remote,M
7398,Data Analytics Engineer,Leadership and Management,135000,Mid-level,Full-time,Remote,L
7399,Data Engineer,Data Engineering,178800,Senior,Full-time,Remote,L
7400,Data Engineer,Data Engineering,132100,Senior,Full-time,Remote,L
7401,Data Engineer,Data Engineering,160000,Senior,Full-time,Remote,M
7402,Data Engineer,Data Engineering,85000,Senior,Full-time,Remote,M
7403,ETL Developer,Data Engineering,250000,Senior,Full-time,Remote,M
7404,ETL Developer,Data Engineering,63000,Senior,Full-time,Remote,M
7405,Data Engineer,Data Engineering,187200,Executive,Full-time,Remote,M
7406,Data Engineer,Data Engineering,116100,Executive,Full-time,Remote,M
7407,Data Engineer,Data Engineering,200000,Senior,Full-time,Remote,M
7408,Data Engineer,Data Engineering,145000,Senior,Full-time,Remote,M
7409,Data Engineer,Data Engineering,229998,Senior,Full-time,In-person,L
7410,Data Engineer,Data Engineering,154545,Senior,Full-time,In-person,L
7411,Data Scientist,Data Science and Research,215000,Senior,Full-time,In-person,L
7412,Data Scientist,Data Science and Research,159000,Senior,Full-time,In-person,L
7413,Data Engineer,Data Engineering,229998,Senior,Full-time,In-person,L
7414,Data Engineer,Data Engineering,154545,Senior,Full-time,In-person,L
7415,AI Scientist,Machine Learning and AI,50000,Entry-level,Full-time,Remote,M
7416,Data Scientist Lead,Data Science and Research,183000,Senior,Full-time,Remote,L
7417,Data Analyst,Data Analysis,99750,Senior,Full-time,Remote,M
7418,Data Analyst,Data Analysis,68400,Senior,Full-time,Remote,M
7419,Data Scientist,Data Science and Research,236900,Senior,Full-time,Remote,L
7420,Data Scientist,Data Science and Research,159200,Senior,Full-time,Remote,L
7421,Data Science Manager,Data Science and Research,243225,Senior,Full-time,Remote,M
7422,Data Science Manager,Data Science and Research,179775,Senior,Full-time,Remote,M
7423,Data Engineer,Data Engineering,175000,Senior,Full-time,Remote,M
7424,Data Engineer,Data Engineering,150000,Senior,Full-time,Remote,M
7425,Machine Learning Engineer,Machine Learning and AI,210000,Senior,Full-time,Remote,M
7426,Machine Learning Engineer,Machine Learning and AI,180000,Senior,Full-time,Remote,M
7427,Data Scientist,Data Science and Research,148000,Senior,Full-time,Remote,M
7428,Data Scientist,Data Science and Research,128000,Senior,Full-time,Remote,M
7429,Data Architect,Data Architecture and Modeling,190000,Senior,Full-time,Remote,M
7430,Data Architect,Data Architecture and Modeling,135000,Senior,Full-time,Remote,M
7431,Analytics Engineer,Leadership and Management,130000,Senior,Full-time,Remote,M
7432,Analytics Engineer,Leadership and Management,110000,Senior,Full-time,Remote,M
7433,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7434,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7435,Data Engineer,Data Engineering,160000,Senior,Full-time,Remote,M
7436,Data Engineer,Data Engineering,85000,Senior,Full-time,Remote,M
7437,Data Scientist,Data Science and Research,218000,Senior,Full-time,In-person,M
7438,Data Scientist,Data Science and Research,145300,Senior,Full-time,In-person,M
7439,ML Engineer,Machine Learning and AI,195400,Senior,Full-time,Remote,L
7440,ML Engineer,Machine Learning and AI,131300,Senior,Full-time,Remote,L
7441,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7442,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7443,Data Scientist,Data Science and Research,207000,Senior,Full-time,Remote,M
7444,Data Scientist,Data Science and Research,153000,Senior,Full-time,Remote,M
7445,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7446,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7447,Data Analyst,Data Analysis,110000,Senior,Full-time,In-person,M
7448,Data Analyst,Data Analysis,99000,Senior,Full-time,In-person,M
7449,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7450,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7451,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7452,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7453,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7454,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7455,Data Scientist,Data Science and Research,207000,Senior,Full-time,Remote,M
7456,Data Scientist,Data Science and Research,153000,Senior,Full-time,Remote,M
7457,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7458,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7459,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7460,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7461,Data Scientist,Data Science and Research,191475,Senior,Full-time,Remote,M
7462,Data Scientist,Data Science and Research,141525,Senior,Full-time,Remote,M
7463,Data Engineer,Data Engineering,195700,Senior,Full-time,In-person,M
7464,Data Engineer,Data Engineering,130500,Senior,Full-time,In-person,M
7465,ML Engineer,Machine Learning and AI,130000,Senior,Full-time,Remote,M
7466,ML Engineer,Machine Learning and AI,84000,Senior,Full-time,Remote,M
7467,Data Operations Engineer,Data Quality and Operations,100000,Mid-level,Full-time,Remote,M
7468,Data Operations Engineer,Data Quality and Operations,60000,Mid-level,Full-time,Remote,M
7469,Data Engineer,Data Engineering,141300,Senior,Full-time,In-person,M
7470,Data Engineer,Data Engineering,102100,Senior,Full-time,In-person,M
7471,Business Data Analyst,Data Analysis,150000,Mid-level,Full-time,Remote,L
7472,Data Analyst,Data Analysis,144000,Senior,Full-time,Remote,M
7473,Data Analyst,Data Analysis,113000,Senior,Full-time,Remote,M
7474,Data Architect,Data Architecture and Modeling,195400,Senior,Full-time,Remote,L
7475,Data Architect,Data Architecture and Modeling,131300,Senior,Full-time,Remote,L
7476,Machine Learning Engineer,Machine Learning and AI,195400,Senior,Full-time,Remote,L
7477,Machine Learning Engineer,Machine Learning and AI,131300,Senior,Full-time,Remote,L
7478,Data Architect,Data Architecture and Modeling,195400,Senior,Full-time,Remote,L
7479,Data Architect,Data Architecture and Modeling,131300,Senior,Full-time,Remote,L
7480,Data Architect,Data Architecture and Modeling,190000,Senior,Full-time,Remote,M
7481,Data Architect,Data Architecture and Modeling,135000,Senior,Full-time,Remote,M
7482,Data Engineer,Data Engineering,135000,Senior,Full-time,Remote,M
7483,Data Engineer,Data Engineering,80000,Senior,Full-time,Remote,M
7484,Data Engineer,Data Engineering,160000,Senior,Full-time,Remote,M
